x,y,time_stamp
-1.1632271306245463,-0.9207106097009322,1520420809.441375
-1.1781340233891036,-0.8927501931271538,1520420809.601609
-1.1930870063543197,-0.8643315971637067,1520420809.7614
-1.2079683571334197,-0.8356830669687373,1520420809.921357
-1.2225347852713733,-0.8072080488044688,1520420810.081499
-1.2370930355021623,-0.7783462096349013,1520420810.241385
-1.251484870992412,-0.7494486420026713,1520420810.401691
-1.265622018333083,-0.7207580521889302,1520420810.561419
-1.2796579742294272,-0.6919229433482558,1520420810.721366
-1.2935550513868856,-0.6630206553357729,1520420810.881578
-1.3073208841875446,-0.6340084136583489,1520420811.045373
-1.3209262928597132,-0.6049206017846211,1520420811.205366
-1.3344085535910404,-0.5756815399588054,1520420811.365626
-1.347684916284908,-0.5464420682257339,1520420811.525389
-1.3606949565458157,-0.5173632273954826,1520420811.685366
-1.3737113239358603,-0.48786720002788675,1520420811.845358
-1.386505964810595,-0.4584602440965915,1520420812.005383
-1.399110400385468,-0.4291104450030314,1520420812.165564
-1.4117177541673653,-0.39934463239122914,1520420812.325419
-1.4241054605471024,-0.3696715196724532,1520420812.485456
-1.436293389053295,-0.3401001971823584,1520420812.649382
-1.4484290280331833,-0.31027705017051027,1520420812.809392
-1.4603674760846566,-0.28055817481516543,1520420812.96939
-1.4721795099578778,-0.25078882094058996,1520420813.129601
-1.4839120607210905,-0.2208505944125184,1520420813.289436
-1.4954356977415635,-0.19105985126887645,1520420813.449387
-1.5068361766323746,-0.1611761135653203,1520420813.609588
-1.5180831335178067,-0.13132538245958325,1520420813.769428
-1.5292566284052675,-0.10126502279818181,1520420813.929599
-1.5402166489421079,-0.07139859244724525,1520420814.08935
-1.5511303731547725,-0.04133366643342847,1520420814.249385
-1.561950285492451,-0.011189542641591214,1520420814.409487
-1.57257604756681,0.018797440867041618,1520420814.569423
-1.583165085411097,0.04906863104394832,1520420814.729618
-1.593449679590321,0.07885868473587,1520420814.889394
-1.6037332278276752,0.10900980027147829,1520420815.04937
-1.6138801430355363,0.13911718099171658,1520420815.209571
-1.623926036962411,0.16930337735575726,1520420815.369388
-1.6338034011840434,0.1993656166687729,1520420815.529758
-1.643665607292199,0.22970201132472867,1520420815.689399
-1.6534157841937007,0.2600298142568961,1520420815.849351
-1.662924812586467,0.28994221594830555,1520420816.010028
-1.6724917490604492,0.32037302733842477,1520420816.169363
-1.681871848899997,0.35059413436888315,1520420816.329734
-1.6911479521869515,0.38084732632507956,1520420816.489437
-1.7004427733104146,0.41149607847052994,1520420816.649409
-1.7094670452478686,0.44164731701829235,1520420816.817443
-1.718455228020662,0.47203176995158275,1520420816.977355
-1.7273502319752718,0.5024436283117334,1520420817.137407
-1.7361253570668476,0.5328458965481268,1520420817.297816
-1.7448283337880397,0.5634019546663259,1520420817.457736
-1.7534541419551593,0.5940685050187965,1520420817.617374
-1.762027806164365,0.6249710210850744,1520420817.777428
-1.770424096499161,0.6556569915543132,1520420817.937389
-1.7787453270940792,0.6864517565697816,1520420818.101394
-1.7868739072933046,0.7169890781177587,1520420818.261693
-1.7947181731710404,0.747644450053429,1520420818.425735
-1.8020574947766337,0.778774821522297,1520420818.585409
-1.8081735162759232,0.8097744034940182,1520420818.745434
-1.8116632896393683,0.8406494896543262,1520420818.905556
-1.8115063152794681,0.8722773952437962,1520420819.065659
-1.808307702640387,0.9036632918718001,1520420819.22582
-1.8027305227446704,0.934631639772109,1520420819.385393
-1.7953977502656353,0.9657186703929225,1520420819.545386
-1.7874458853710389,0.9967869483892723,1520420819.705701
-1.7793432811108414,1.0277722009420884,1520420819.865537
-1.7710782285165392,1.0588027976446794,1520420820.025389
-1.7627158709369415,1.0895864114956253,1520420820.189389
-1.754159298960961,1.120537895406867,1520420820.349383
-1.7454278377257317,1.1516177266938497,1520420820.509361
-1.736597954330783,1.1824479951587135,1520420820.669358
-1.727636029122451,1.213195712382533,1520420820.829699
-1.7184858137076444,1.2441103797751734,1520420820.989435
-1.709302138723233,1.274614499358814,1520420821.149395
-1.6999720896174961,1.3051633589172036,1520420821.309572
-1.690477188331623,1.3357953506850806,1520420821.469358
-1.680760510018121,1.366670810546778,1520420821.629536
-1.670954954470254,1.3973839010891511,1520420821.789787
-1.6610552997385495,1.4279771551986846,1520420821.949437
-1.6510063740693492,1.4586114842520164,1520420822.109602
-1.6408058562870558,1.4892406144458727,1520420822.26938
-1.6304525550995337,1.5198634588888877,1520420822.42946
-1.6199691521581028,1.5504870863804163,1520420822.589735
-1.60940515272192,1.5809476250203727,1520420822.749449
-1.598634320579221,1.6116069853248687,1520420822.90947
-1.5878725405945444,1.641862457889066,1520420823.073389
-1.5770548452213946,1.671916750157482,1520420823.233368
-1.565978405531423,1.7023309118861407,1520420823.393704
-1.5548795858151205,1.7324189338771765,1520420823.55347
-1.543636024226802,1.7625897366081134,1520420823.71339
-1.5322268562380614,1.7928806544985587,1520420823.873511
-1.5207962983089969,1.8228898560121691,1520420824.033399
-1.5093606539258009,1.8526231342282917,1520420824.193573
-1.4977183684320896,1.882596585213317,1520420824.353764
-1.4859756561303863,1.9125308359478579,1520420824.513366
-1.474240770177605,1.9421472909622806,1520420824.673415
-1.462252533720374,1.9721678216890608,1520420824.833415
-1.4501902319166569,2.0021126962791858,1520420824.993389
-1.4381411989428665,2.031740897935724,1520420825.153768
-1.4260163810929714,2.061292077541035,1520420825.313438
-1.4136988566907052,2.091040590169939,1520420825.473475
-1.4013666731730432,2.1205520593807115,1520420825.633577
-1.3888808721927528,2.1501840577001103,1520420825.797356
-1.3763352222888625,2.1796517302556597,1520420825.95755
-1.3636070396124849,2.20880831290207,1520420826.117392
